,행정구역,2019_전체,2019_전체_65세이상,2019_남자,2019_남자_65세이상,2019_여자,2019_여자_65세이상,2020_전체,2020_전체_65세이상,2020_남자,2020_남자_65세이상,2020_여자,2020_여자_65세이상,2021_전체,2021_전체_65세이상,2021_남자,2021_남자_65세이상,2021_여자,2021_여자_65세이상,2022_전체,2022_전체_65세이상,2022_남자,2022_남자_65세이상,2022_여자,2022_여자_65세이상,2023_전체,2023_전체_65세이상,2023_남자,2023_남자_65세이상,2023_여자,2023_여자_65세이상,2024_전체,2024_전체_65세이상,2024_남자,2024_남자_65세이상,2024_여자,2024_여자_65세이상
0,경기도,13239666,1651341,6659995,723035,6579671,652833,13427014,1775315,6754469,782215,6672545,683139,13565450,1881464,6827298,834466,6738152,701271,13589432,1992807,6839276,890053,6750156,735515,13630821,2122718,6855895,954617,6774926,768565,13648156,2174125,6863252,979658,6784904,782484
1,수원시,1194465,123647,601410,53244,593055,48861,1186078,131936,597076,57049,589002,50855,1183714,139075,595933,60625,587781,51816,1190964,147122,599619,64669,591345,54422,1197257,157336,602346,69697,594911,56977,1196987,161380,602056,71609,594931,58052
2,장안구,278377,34579,140218,14801,138159,14103,273661,36657,137807,15759,135854,14672,273835,38374,137861,16637,135974,14880,270524,40078,136095,17467,134429,15441,270849,42714,136145,18717,134704,16064,273317,43769,137230,19161,136087,16390
3,권선구,371754,38769,187627,16980,184127,14817,368645,41407,186050,18214,182595,15376,364136,43754,183925,19349,180211,15731,367446,46727,185682,20837,181764,16671,366167,50191,184970,22536,181197,17538,365287,51802,184551,23306,180736,17965
4,팔달구,175866,25354,88523,10943,87343,9975,174930,26837,88180,11583,86750,10368,182321,28310,91926,12248,90395,10623,192610,30134,96997,13092,95613,11328,197213,32032,99290,14003,97923,11917,195864,32480,98608,14227,97256,12056
5,영통구,368468,24945,185042,10520,183426,9966,368842,27035,185039,11493,183803,10439,363422,28637,182221,12391,181201,10582,360384,30183,180845,13273,179539,10982,363028,32399,181941,14441,181087,11458,362519,33329,181667,14915,180852,11641
6,성남시,942724,125807,466644,55095,476080,49241,940064,133221,465407,58797,474657,50729,930948,138091,461131,61374,469817,50952,922518,144800,456882,64849,465636,52950,919747,152855,455137,68868,464610,55274,918706,155950,454656,70290,464050,56220
7,의정부시,451868,65272,222590,27894,229278,26620,461710,70369,227342,30154,234368,28061,463661,73525,228538,31747,235123,28496,463724,77555,228107,33622,235617,29763,464213,82104,228163,35790,236050,30936,462010,83654,227022,36514,234988,31434
8,안양시,567044,71643,280652,31660,286392,27521,550027,75581,271936,33567,278091,28212,547178,79282,270496,35370,276682,28649,548228,84390,270878,37813,277350,30148,544660,90026,268911,40599,275749,31481,546182,92362,269591,41730,276591,32098
9,부천시,829996,104089,412500,45830,417496,39261,818383,111952,406023,49704,412360,40871,806067,118668,399484,52908,406583,41802,790128,125752,391102,56403,399026,43697,779968,134331,385531,60563,394437,45753,775488,137761,383075,62177,392413,46691
10,광명시,316552,41397,156405,17801,160147,16067,298599,41683,147278,18030,151321,15752,292893,43045,144384,18711,148509,15707,287945,45128,141632,19667,146313,16377,280197,46870,137512,20539,142685,16748,278983,47786,136804,20912,142179,17056
11,평택시,513027,61910,264012,26199,249015,25657,537307,66486,277617,28323,259690,26866,564288,70123,293954,30368,270334,27358,578529,73372,303283,32116,275246,28266,591022,77785,310473,34478,280549,29221,593276,79637,311687,35385,281589,29621
12,동두천시,94768,18344,47308,7604,47460,8113,94353,19397,47038,8062,47315,8420,93592,19926,46694,8379,46898,8392,91546,20464,45673,8674,45873,8527,88626,21372,44198,9145,44428,8796,87725,21713,43733,9294,43992,8904
13,안산시,650918,66438,333766,28678,317152,26716,654915,71620,335804,31377,319111,27853,652726,76366,334646,33761,318080,28660,641660,81511,328940,36473,312720,29837,629308,87389,322328,39585,306980,30712,626166,89968,320787,40982,305379,31198
14,고양시,1066351,135272,522749,57183,543602,57755,1079216,145710,528480,62061,550736,60411,1079353,154134,528094,66279,551259,61554,1076535,163080,525741,70842,550794,63851,1074907,173057,524368,75987,550539,66015,1071272,176993,522367,77883,548905,66834
15,과천시,58289,8084,28638,3403,29651,3397,63231,8994,31068,3860,32163,3652,73345,10358,36092,4574,37253,3884,78137,11140,38416,5013,39721,4020,81000,11771,39687,5355,41313,4169,83358,12207,40763,5572,42595,4296
16,구리시,199265,25159,98968,11087,100297,9753,197454,26962,97939,11976,99515,10146,191948,27820,95172,12467,96776,10075,188701,29173,93442,13079,95259,10590,187093,31009,92559,13976,94534,11025,186148,31706,92050,14334,94098,11195
17,남양주시,701830,93007,349664,40947,352166,36041,713321,100537,355197,44396,358124,38186,733798,108285,365103,48024,368695,40012,737353,115165,366261,51166,371092,42610,732265,121931,363190,54378,369075,44612,733209,124663,363407,55596,369802,45589
18,오산시,226379,20257,116904,8829,109475,7922,229725,22060,118785,9640,110940,8427,229983,23589,119409,10353,110574,8759,229849,25237,119646,11160,110203,9263,229656,26964,119722,11954,109934,9722,234591,27897,122349,12354,112242,10000
19,시흥시,473682,41403,247804,18159,225878,16449,500895,46782,261730,20746,239165,17866,512030,50915,267423,22786,244607,18629,512912,54756,267861,24725,245051,19602,519715,59745,271236,27340,248479,20568,519060,61565,270813,28351,248247,20939
20,군포시,275852,33726,136878,14716,138974,13548,273791,36416,135834,15945,137957,14129,268535,38296,133246,16887,135289,14348,266213,40752,132165,18108,134048,14941,261229,43569,129573,19392,131656,15550,259595,44685,128788,19944,130807,15838
21,의왕시,161153,20823,80353,9319,80800,8034,163795,22280,81470,10076,82325,8184,163356,23644,81148,10748,82208,8337,160221,24954,79417,11412,80804,8565,158870,26477,78829,12188,80041,8873,156482,26922,77546,12372,78936,8990
22,하남시,272455,33597,136985,15611,135470,11541,293452,37573,147424,17410,146028,12653,320087,41540,160163,19225,159924,13748,326059,44618,162773,20701,163286,14844,329861,47583,164202,22155,165659,15697,329456,48627,163932,22624,165524,16065
23,용인시,1059609,133817,525946,59122,533663,52151,1074176,143096,532847,63325,541329,55204,1077508,150263,534459,66502,543049,57272,1074971,157226,533323,69665,541648,60389,1075566,165767,533387,73688,542179,63574,1079326,169297,535308,75378,544018,64772
24,파주시,454040,60663,230461,25985,223579,25567,465617,64915,236049,27948,229568,26804,483245,69084,245085,29936,238160,27625,495315,73543,251334,32152,243981,28975,497753,78257,252159,34510,245594,30173,504999,80277,255652,35520,249347,30653
25,이천시,215834,29245,111244,12918,104590,11675,218388,31134,112947,13914,105441,12070,223177,33034,115727,14912,107450,12379,222721,34750,115925,15855,106796,12918,222098,36905,115622,17042,106476,13304,221493,37746,115425,17469,106068,13491
26,안성시,183405,30729,94227,13398,89178,12635,187012,32844,96355,14416,90657,13157,189534,34629,97895,15301,91639,13435,188842,36284,97581,16191,91261,13942,189034,38191,97738,17198,91296,14406,190853,39116,98717,17686,92136,14641
27,김포시,437221,52278,219552,23379,217669,19774,473970,58124,237507,26021,236463,21474,486508,62780,243415,28141,243093,22593,484267,66858,241904,30144,242363,23962,486172,71702,242801,32395,243371,25532,485494,73332,242419,33235,243075,26033
28,화성시,815396,69434,422470,31002,392926,26417,855248,76180,443841,34311,411407,28118,887015,82470,460788,37366,426227,29478,910814,89334,473507,40808,437307,31690,944342,97343,490518,44821,453824,33692,951179,100159,493982,46291,457197,34381
29,광주시,372654,46344,190774,21549,181880,16417,382054,51079,195298,23788,186756,17579,387289,55328,197673,25828,189616,18591,391462,59448,199707,27846,191755,19932,391377,64032,199601,30076,191776,21236,392858,65806,200312,30937,192546,21746
30,양주시,222314,33412,112775,14898,109539,13291,230359,36245,116916,16270,113443,13981,236368,39036,119835,17561,116533,14664,243432,41886,123173,18952,120259,15589,268026,46170,135376,20949,132650,16842,276970,47730,139607,21652,137363,17344
31,포천시,148379,27615,78231,12339,70148,11379,147274,29314,77905,13344,69369,11611,148939,31080,78915,14354,70024,11759,146701,32863,77707,15402,68994,12111,143323,34863,75837,16506,67486,12414,142545,35703,75459,16979,67086,12562
32,여주시,111083,23068,56427,10381,54656,9171,111897,24475,56838,11101,55059,9384,112150,25854,57022,11832,55128,9539,113150,27269,57567,12582,55583,10057,114412,28895,58177,13412,56235,10495,114372,29516,58169,13734,56203,10673
33,연천군,43824,10990,22962,4789,20862,4806,43516,11490,22799,5057,20717,4876,42721,11814,22399,5237,20322,4845,42062,12319,22113,5540,19949,4897,41584,12882,21776,5847,19808,5020,41111,13063,21556,5954,19555,5030
34,가평군,62415,15423,32042,7009,30373,6149,62377,16324,32156,7503,30221,6256,62264,17035,32129,7917,30135,6267,62150,17841,32102,8406,30048,6495,62302,18713,32137,8844,30165,6719,62281,19077,32056,9026,30225,6826
35,양평군,116874,28448,58654,13007,58220,10904,118810,30536,59563,14044,59247,11352,121230,32375,60846,14993,60384,11646,122323,34217,61495,16018,60828,12285,125238,36824,62801,17340,62437,13029,125981,37827,63164,17874,62817,13312
